MLC ID,Commitment,Reporting Lead,All ministers
1720,Launch a National Infrastructure Assessment to help identify needs and priorities in the built environment and support long-term planning toward a net-zero emissions future.,"Minister of Intergovernmental Affairs, Infrastructure and Communities","Minister of Intergovernmental Affairs, Infrastructure and Communities"
1721,Create open-access climate toolkits to help infrastructure owners and investors develop projects that contribute to Canada’s path to net-zero emissions.,"Minister of Intergovernmental Affairs, Infrastructure and Communities","Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Innovation, Science and Industry; Minister of Environment and Climate Change; Minister of Natural Resources; Minister of Public Safety"
1722,"Seek opportunities to scale the construction of climate-resilient infrastructure across Canada, with a particular emphasis on communities most at risk.","Minister of Intergovernmental Affairs, Infrastructure and Communities","Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Natural Resources; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness"
1723,Develop an approach to better support the economic growth of small and medium-size communities.,"Minister of Intergovernmental Affairs, Infrastructure and Communities","Minister of Intergovernmental Affairs, Infrastructure and Communities"
1725,"Support community-led public green space projects by municipalities, Indigenous communities and non-profit organizations through the Natural Infrastructure Fund.","Minister of Intergovernmental Affairs, Infrastructure and Communities","Minister of Intergovernmental Affairs, Infrastructure and Communities"
1726,Accelerate the design and delivery of the next phase of the Smart Cities Challenge.,"Minister of Intergovernmental Affairs, Infrastructure and Communities","Minister of Intergovernmental Affairs, Infrastructure and Communities"
1727,"Protect Canada's democratic institutions, including the federal electoral process, against foreign interference and disinformation.","Minister of Intergovernmental Affairs, Infrastructure and Communities","Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Public Safety; Minister of Canadian Heritage and Quebec Lieutenant; Minister of Foreign Affairs; Minister of National Defence"
1728,Lead efforts to strengthen Canada's democratic institutions by examining the link between technology and democracy.,"Minister of Intergovernmental Affairs, Infrastructure and Communities","Minister of Intergovernmental Affairs, Infrastructure and Communities"
1729,"Consider the Chief Electoral Officer’s forthcoming legislative recommendations from the 43rd and 44th general elections to support transparency, fairness and participation in the federal electoral process.","Minister of Intergovernmental Affairs, Infrastructure and Communities","Minister of Intergovernmental Affairs, Infrastructure and Communities"
1731,Consider the forthcoming report of Canada’s Leaders’ Debates Commissioner on how to improve leaders’ debates and take steps to ensure that they better serve the public interest.,"Minister of Intergovernmental Affairs, Infrastructure and Communities","Minister of Intergovernmental Affairs, Infrastructure and Communities"
1801,"Implement the Feminist International Assistance Policy and maintain an ongoing focus on gender equality and reaching the poorest, most vulnerable and marginalized, through an intersectional, human rights-based feminist approach.",Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada
1804,"Reinforce international efforts to ensure that people around the world have access to health interventions to fight COVID-19, including by donating at least 200 million vaccine doses to vulnerable populations through COVAX by the end of 2022.",Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; Minister of Health; Minister of Foreign Affairs
1805,Provide additional funding for enhanced testing and vaccine production capacity in developing countries.,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; Minister of Health; Minister of Foreign Affairs
1806,"In support of COVID-19 recovery in developing countries, maintain Canada’s international leadership on financing for development, in alignment with Canada’s feminist approach to development.",Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada
1809,Increase Canada’s international development assistance every year towards 2030.,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; Deputy Prime Minister and Minister of Finance; Minister of Foreign Affairs
1810,"Improve the way the Government of Canada manages and deliver international development assistance to ensure greater responsiveness, effectiveness, transparency and accountability.",Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,"Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; Minister of Foreign Affairs; Minister of International Trade, Export Promotion, Small Business and Economic Development"
1811,"Increase access to inclusive, equitable and quality education for the world’s most marginalized children, including new funding for girls' and refugees' education.",Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada
1812,"Support women leaders and feminist groups' efforts to promote peace and protect the rights of women and marginalized groups, including new funding for the Women's Voice and Leadership program.",Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada
1813,Increase funding to grassroots women’s rights organizations.,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada
1814,"Close persistent gaps in sexual and reproductive health and rights services, including in relation to the prevention of sexual and gender-based violence.",Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada
1815,Implement the funding commitment for stand-alone programming on paid and unpaid care work.,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada
1816,Provide greater assistance to people with disabilities in developing countries through advocacy in multilateral forums and international development assistance programming.,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,"Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; Minister of Employment, Workforce Development and Disability Inclusion"
1818,"Increase the annual investment in the Canada Fund for Local Initiatives to enable staff at Canada’s diplomatic missions around the world to support the work of local organizations that promote gender equality, LGBTQ2 and human rights.",Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,Minister of Foreign Affairs; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada
1819,Expand Canada’s efforts to advance gender equality and LGBTQ2 rights abroad.,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,"Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; Minister of Foreign Affairs; Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister for Women and Gender Equality and Youth"
1820,"Expand Canada’s engagement with allies, partners and international organizations to promote peace and security, provide humanitarian assistance and support international emergency responses.",Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,"Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; Minister of Foreign Affairs; Minister of National Defence; Minister of Public Safety; Minister of Immigration, Refugees and Citizenship"
1821,Support Afghan citizens through humanitarian assistance.,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,"Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; Minister of Immigration, Refugees and Citizenship"
1822,"Work with Canadian allies to protect democratic and human rights in Afghanistan, including for women, girls and minorities.",Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; Minister of Foreign Affairs; Minister of Public Safety
1827,"Promote short- and long-term job creation and economic development in British Columbia, through a place-based approach and support accessible to all regions, in particular rural and small communities.",Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada,Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada
1901,"Strengthen and secure supply chains, including through the Roadmap for a Renewed U.S.-Canada Partnership.","Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development"
1902,Pursue opportunities more broadly for market diversification and trade facilitating infrastructure.,"Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister of Innovation, Science and Industry; Minister of Transport; Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Agriculture and Agri-Food"
1903,Advance Canada’s global leadership on critical minerals by working with international partners and allies.,Minister of Natural Resources,"Minister of Natural Resources; Minister of Innovation, Science and Industry; Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister of National Defence"
1904,Implement the Canada–U.S. Joint Action Plan on Critical Minerals Collaboration.,Minister of Natural Resources,"Minister of Natural Resources; Minister of Innovation, Science and Industry; Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister of National Defence"
1905,Implement the Canada-EU Strategic Partnership on Raw Materials.,Minister of Natural Resources,"Minister of Natural Resources; Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister of Innovation, Science and Industry"
1907,"Combat protectionism, unfair trade practices, and economic coercion around the world.","Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister of Foreign Affairs; Deputy Prime Minister and Minister of Finance; Minister of Agriculture and Agri-Food; Minister of Innovation, Science and Industry"
1908,"Work with international partners, advance Canada's export diversification strategy, and ensure that Canadian workers and businesses receive necessary support.","Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development"
1909,Engage the United States to address bilateral trade issues and protectionist measures.,"Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development"
1912,Establish a new federal hub to help Canadian businesses and entrepreneurs take full advantage of trade agreements.,"Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development"
1913,Implement the new Canada Digital Adoption Program to help small and medium-sized businesses seize the opportunities of the digital economy.,"Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development"
1918,"Develop a strategy for economic cooperation across Africa, including support for the African Continental Free Trade Area, facilitation of increased infrastructure investment and expansion of partnerships in research and innovation.","Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister of Foreign Affairs; Deputy Prime Minister and Minister of Finance; Minister of Natural Resources; Minister of Fisheries, Oceans and the Canadian Coast Guard; Minister of Agriculture and Agri-Food; Minister of Immigration, Refugees and Citizenship"
1919,"Reinforce economic cooperation in the hemisphere, including by continuing enhanced trade engagement with the Pacific Alliance and pursuing bilateral trade agreements with key partners.","Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister of Foreign Affairs; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; Deputy Prime Minister and Minister of Finance; Minister of Agriculture and Agri-Food; Minister of Environment and Climate Change; Minister of Innovation, Science and Industry; Minister of Labour"
1922,"As part of a new Indo-Pacific strategy, negotiate new bilateral and regional trade agreements, expand Foreign Investment Promotion and Protection Agreements, and build stronger economic linkages.","Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister of Foreign Affairs; Deputy Prime Minister and Minister of Finance; Minister of Agriculture and Agri-Food; Minister of Environment and Climate Change; Minister of Labour"
1923,Advance negotiations with the United Kingdom towards a fully realized Canada-UK Trade Agreement.,"Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development; Deputy Prime Minister and Minister of Finance; Minister of Agriculture and Agri-Food; Minister of Innovation, Science and Industry; Minister of Environment and Climate Change; Minister of Foreign Affairs; Minister of Labour"
1924,Implement new free trade agreements to ensure they benefit Canadian consumers and businesses.,"Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development"
1925,Introduce a reciprocal procurement policy that will ensure goods and services are procured from countries that grant Canadian businesses a similar level of market access.,"Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development; Deputy Prime Minister and Minister of Finance; Minister of Public Services and Procurement; President of the Treasury Board; Minister of Intergovernmental Affairs, Infrastructure and Communities; Minister of Innovation, Science and Industry; Minister of Transport"
1926,"Promote open and rules-based trade regimes around the globe, including by extending Canada's leadership of the Ottawa Group on World Trade Organization reform and by advancing Canada's inclusive free trade agenda.","Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister of Fisheries, Oceans and the Canadian Coast Guard; Deputy Prime Minister and Minister of Finance; Minister of Agriculture and Agri-Food"
1929,"Advance foreign investment attraction measures that position Canada as a top destination for global investment and promote Canada's economic brand, while balancing national interests.","Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister of Innovation, Science and Industry; Minister of Agriculture and Agri-Food; Minister of Natural Resources; Minister of Public Safety; Minister of Transport; Minister of Environment and Climate Change; Deputy Prime Minister and Minister of Finance; Minister of Employment, Workforce Development and Disability Inclusion; Minister of Immigration, Refugees and Citizenship"
1930,Issue a mandate to the Business Development Bank of Canada (BDC) and Export Development Canada (EDC) to support the growth of creative industries in existing and new markets.,"Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister of Canadian Heritage and Quebec Lieutenant"
1932,Enhance and expand Canada’s Responsible Business Conduct strategy.,"Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development"
1933,Support the Canadian Ombudsperson for Responsible Enterprise to ensure Canadian companies and Crown corporations uphold the highest environmental and social standards of corporate governance.,"Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development"
1935,Expand the Canada Small Business Financing Program to provide a greater range of supports to small businesses.,"Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development; Deputy Prime Minister and Minister of Finance"
1936,Create a community stream to the Women Entrepreneurship Strategy’s Ecosystem Fund to support smaller community-level organizations providing mentorship to diverse women.,"Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister for Women and Gender Equality and Youth"
1937,"Ensure the definition of ‘entrepreneur’ across government is inclusive and includes small and medium-sized businesses that operate in the care economy, retail and service sectors.","Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development"
1940,Convene and coordinate the Ministers responsible for the Regional Development Agencies to promote a cohesive approach through the sharing of best practices and leverage expertise and capabilities.,"Minister of International Trade, Export Promotion, Small Business and Economic Development","Minister of International Trade, Export Promotion, Small Business and Economic Development"
2001,Make it a criminal offence to obstruct access to health services and to intimidate or threaten healthcare professionals or Canadians receiving health care.,Minister of Justice and Attorney General of Canada,Minister of Justice and Attorney General of Canada; Minister of Labour
2002,Fully implement the United Nations Declaration on the Rights of Indigenous Peoples Act and work with Indigenous Peoples to accelerate the co-development of an action plan to achieve the objectives of the Declaration.,Minister of Justice and Attorney General of Canada,Minister of Justice and Attorney General of Canada; Minister of Crown-Indigenous Relations; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Natural Resources
2004,"Appoint a Special Interlocutor to support the development of a legal and regulatory framework to advance justice regarding unmarked graves and make recommendations related to federal laws, regulations, policies and practices surrounding unmarked and undocumented graves and burial sites at residential schools.",Minister of Justice and Attorney General of Canada,Minister of Justice and Attorney General of Canada; Minister of Crown-Indigenous Relations; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario
2005,"Building on the passage of C-4, ensure that Canadian justice policy protects the dignity and equality of LGBTQ2 Canadians.",Minister of Justice and Attorney General of Canada,Minister of Justice and Attorney General of Canada; Minister for Women and Gender Equality and Youth
2006,Ensure the Bench is gender-balanced and reflective of Canada’s diversity.,Minister of Justice and Attorney General of Canada,Minister of Justice and Attorney General of Canada
2008,Address systemic discrimination and the overrepresentation of Black and racialized Canadians and Indigenous Peoples in the criminal justice system by reducing reliance on mandatory minimum penalties and promote non-criminal approaches to drug possession.,Minister of Justice and Attorney General of Canada,Minister of Justice and Attorney General of Canada; Minister of Public Safety; Minister of Health
2009,Address systemic discrimination and the overrepresentation of Indigenous Peoples in the criminal justice system by developing an Indigenous Justice Strategy.,Minister of Justice and Attorney General of Canada,Minister of Justice and Attorney General of Canada; Minister of Crown-Indigenous Relations; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Public Safety
2010,Address systemic discrimination and the overrepresentation of Black and racialized Canadians in the criminal justice system by developing a Black Canadians Justice Strategy.,Minister of Justice and Attorney General of Canada,Minister of Justice and Attorney General of Canada; Minister of Housing and Diversity and Inclusion; Minister for Women and Gender Equality and Youth; Minister of Public Safety
2011,Make drug treatment courts the default option for first-time non-violent offenders.,Minister of Justice and Attorney General of Canada,Minister of Justice and Attorney General of Canada
2012,Help all Canadians have greater access to mental health courts.,Minister of Justice and Attorney General of Canada,Minister of Justice and Attorney General of Canada; Minister of Mental Health and Addictions and Associate Minister of Health; Minister of Health; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario
2013,"Expand access to culturally appropriate, trauma-informed mental health services for Indigenous Peoples who access treatment through mental health courts.",Minister of Justice and Attorney General of Canada,Minister of Justice and Attorney General of Canada; Minister of Health; Minister of Mental Health and Addictions and Associate Minister of Health; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario
2014,"Enhance access to justice by bringing Canada's court system into the 21st century, including by making better use of technology and virtual court services.",Minister of Justice and Attorney General of Canada,Minister of Justice and Attorney General of Canada
2015,Advance the establishment of an independent Criminal Case Review Commission to improve access to justice for potentially wrongfully convicted people to have their applications reviewed.,Minister of Justice and Attorney General of Canada,Minister of Justice and Attorney General of Canada
2017,Establish a National Support Fund for Survivors of Hate-Motived Crimes as part of a National Action Plan on Combatting Hate.,Minister of Justice and Attorney General of Canada,"Minister of Justice and Attorney General of Canada; Minister of Canadian Heritage and Quebec Lieutenant; Minister of Public Safety; Minister of Innovation, Science and Industry"
2019,"Advance the priorities of Indigenous communities to reclaim jurisdiction over the administration of justice, and support and fund the revitalization of Indigenous laws, legal systems and traditions.",Minister of Justice and Attorney General of Canada,Minister of Justice and Attorney General of Canada; Minister of Crown-Indigenous Relations; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Public Safety
2023,"Help end gun violence by introducing “Red flag” laws to allow the immediate removal of firearms, and increasing maximum firearms trafficking and smuggling penalties.",Minister of Justice and Attorney General of Canada,Minister of Justice and Attorney General of Canada; Minister of Public Safety
2025,Revive the Law Commission of Canada so it can provide independent advice on law reform needed on the complex legal issues Canadians face.,Minister of Justice and Attorney General of Canada,Minister of Justice and Attorney General of Canada
2026,"Strengthen Canada's approach to elder abuse by finalizing the national definition of elder abuse, investing in better data collection and establishing new offences and penalties in the Criminal Code related to elder abuse.",Minister of Justice and Attorney General of Canada,"Minister of Justice and Attorney General of Canada; Minister of Seniors; Minister of Innovation, Science and Industry"
2027,Support the development of specialized sexual violence courts.,Minister of Justice and Attorney General of Canada,Minister of Justice and Attorney General of Canada
2030,"Reform the judicial conduct process via the Judges Act to ensure the process is fair, effective and efficient.",Minister of Justice and Attorney General of Canada,Minister of Justice and Attorney General of Canada
2032,"Continue the substantive review of the Privacy Act, including engagement with Indigenous partners.",Minister of Justice and Attorney General of Canada,"Minister of Justice and Attorney General of Canada; President of the Treasury Board; Minister of Innovation, Science and Industry; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness"
2101,Work with federally regulated workplaces to ensure that COVID-19 vaccination is enforced.,Minister of Labour,Minister of Labour; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Natural Resources; Minister of Transport;
2102,Amend the Canada Labour Code to provide 10 paid days of sick leave for all federally regulated workers.,Minister of Labour,Minister of Labour
2103,Convene provinces and territories to develop a national action plan to legislate sick leave across the country.,Minister of Labour,Minister of Labour
2104,Develop a right-to-disconnect policy.,Minister of Labour,Minister of Labour; Minister of Mental Health and Addictions and Associate Minister of Health
2105,Amend the Canada Labour Code to include mental health as a specific element of occupational health and safety and require federally regulated employers to address workplace stress and injury.,Minister of Labour,Minister of Labour; Minister of Mental Health and Addictions and Associate Minister of Health
2106,Amend the Canada Labour Code to provide up to five new paid leave days for federally regulated employees who experience a miscarriage or stillbirth.,Minister of Labour,Minister of Labour
2107,Implement the International Labour Organization Violence and Harassment Convention.,Minister of Labour,Minister of Labour; Minister of Foreign Affairs
2108,Provide free menstrual products in federally regulated workplaces.,Minister of Labour,Minister of Labour
2109,Accelerate the review of the Employment Equity Act and ensure timely implementation of improvements.,Minister of Labour,Minister of Labour; President of the Treasury Board; Minister of Housing and Diversity and Inclusion; Minister for Women and Gender Equality and Youth
2110,Modernize the Federal Contractors Program to ensure federal contractors are paying their employees the federal minimum wage.,Minister of Labour,Minister of Labour; President of the Treasury Board; Minister of Public Services and Procurement
2111,Advance the implementation of the Pay Equity Act across federally regulated workplaces.,Minister of Labour,Minister of Labour; President of the Treasury Board
2112,Advance legislation to prohibit the use of replacement workers in federally regulated workplaces when a unionized employer has locked out its employees.,Minister of Labour,Minister of Labour
2115,Advance amendments that entitle workers employed by digital platforms to job protections under the Canada Labour Code.,Minister of Labour,"Minister of Labour; Minister of Employment, Workforce Development and Disability Inclusion"
2116,Introduce legislation to eradicate forced labour from Canadian Supply Chains and ensure that Canadian businesses operating abroad do not contribute to human rights abuses.,Minister of Labour,"Minister of Labour; Minister of Public Safety; Minister of Public Services and Procurement; Minister of International Trade, Export Promotion, Small Business and Economic Development"
2117,Amend the Canada Labour Code to strengthen provisions to better support working women who need to be re-assigned during pregnancy and while breast-feeding.,Minister of Labour,Minister of Labour
2118,Strengthen harassment and violence prevention measures in federally regulated workplaces.,Minister of Labour,Minister of Labour
2201,"Establish a permanent, ongoing Canada Mental Health Transfer to help expand the delivery of high-quality, accessible and free mental health services, including for prevention and treatment.",Minister of Mental Health and Addictions and Associate Minister of Health,Minister of Mental Health and Addictions and Associate Minister of Health; Minister of Health; Deputy Prime Minister and Minister of Finance
2203,"Develop mental health standards, with a particular focus on health equity.",Minister of Mental Health and Addictions and Associate Minister of Health,Minister of Mental Health and Addictions and Associate Minister of Health
2204,Sustain improved access to virtual mental health services with Wellness Together Canada.,Minister of Mental Health and Addictions and Associate Minister of Health,Minister of Mental Health and Addictions and Associate Minister of Health; Minister of Public Services and Procurement
2205,Ensure timely access to perinatal mental health services.,Minister of Mental Health and Addictions and Associate Minister of Health,Minister of Mental Health and Addictions and Associate Minister of Health
2206,Implement a three-digit suicide prevention hotline.,Minister of Mental Health and Addictions and Associate Minister of Health,"Minister of Mental Health and Addictions and Associate Minister of Health; Minister of Innovation, Science and Industry"
2207,"Introduce a new fund for student mental health to support the hiring of new mental health care counsellors, improve wait times for services, increase access overall and enable targeted supports to Black and racialized students at post-secondary institutions.",Minister of Mental Health and Addictions and Associate Minister of Health,Minister of Mental Health and Addictions and Associate Minister of Health
2209,Ensure implementation of investments in mental health interventions and supports for people disproportionately impacted by COVID 19.,Minister of Mental Health and Addictions and Associate Minister of Health,Minister of Mental Health and Addictions and Associate Minister of Health
2210,Ensure mental health supports are accessible to children and youth as they recover from the impact of the pandemic.,Minister of Mental Health and Addictions and Associate Minister of Health,"Minister of Mental Health and Addictions and Associate Minister of Health; Minister of Families, Children and Social Development; Minister for Women and Gender Equality and Youth"
2211,Advance a comprehensive strategy to address problematic substance use.,Minister of Mental Health and Addictions and Associate Minister of Health,Minister of Mental Health and Addictions and Associate Minister of Health; Minister of Health
2212,Require tobacco companiees to pay for the cost of federal public health investments in tobacco control.,Minister of Mental Health and Addictions and Associate Minister of Health,Minister of Health
2213,"Advance Canada’s first-ever National Action Plan on Post-Traumatic Stress Injuries, including additional investment to support the health and well-being of first responders.",Minister of Public Safety,Minister of Public Safety; Minister of Mental Health and Addictions and Associate Minister of Health
2215,Explore pathways to increase the accessibility of mental health services in rural areas.,Minister of Mental Health and Addictions and Associate Minister of Health,Minister of Mental Health and Addictions and Associate Minister of Health; Minister of Rural Economic Development
2301,"Ensure the CAF is a 21st century military with the capabilities, equipment and culture to implement Canada’s Defence Policy, Strong, Secure, Engaged, and anticipate and respond to the full range of current and emerging threats.",Minister of National Defence,"Minister of National Defence; Minister of Fisheries, Oceans and the Canadian Coast Guard; Minister of Public Services and Procurement; Minister of Innovation, Science and Industry"
2303,Implement interim and final recommendations of the Independent External Comprehensive Review conducted by Justice Louise Arbour on a priority basis.,Minister of National Defence,Minister of National Defence; Minister of Justice and Attorney General of Canada; Minister of Public Safety; Deputy Prime Minister and Minister of Finance; Minister of Veterans Affairs and Associate Minister of National Defence; Minister for Women and Gender Equality and Youth
2304,"Implement recommendations from the Advisory Panel on Systemic Racism and Discrimination on a priority basis in eliminating all sources of anti-Indigenous and anti-Black racism, LGBTQ2 prejudice, gender bias and white supremacy in the CAF.",Minister of National Defence,Minister of National Defence; Minister of Justice and Attorney General of Canada; Minister of Public Safety; Minister of Veterans Affairs and Associate Minister of National Defence; Minister for Women and Gender Equality and Youth; President of the Treasury Board
2306,Modernize the military justice system with a focus on implementing recommendations from the Third Independent Review of the National Defence Act.,Minister of National Defence,Minister of National Defence; Minister of Justice and Attorney General of Canada
2307,Modernize the military justice system by bringing into force the Declaration of Victims Rights to ensure survivors are treated with respect and have the full range of options and protections that are available in the civilian system.,Minister of National Defence,Minister of National Defence; Minister of Justice and Attorney General of Canada; Minister for Women and Gender Equality and Youth
2308,Move the investigation and prosecution of sexual assault cases from the military justice system to civilian courts.,Minister of National Defence,Minister of National Defence; Minister of Justice and Attorney General of Canada; Minister of Public Safety
2309,Expand the services and resources available to survivors of sexual misconduct through the Sexual Misconduct Response Centre.,Minister of National Defence,Minister of National Defence
2310,"Ensure all members of the Defence Team, including Department of National Defence employees, Veterans and members of military families, have access to the Sexual Misconduct Response Centre.",Minister of National Defence,Minister of National Defence; Minister of Veterans Affairs and Associate Minister of National Defence
2311,"Expand health services available to women in the CAF, ensuring comprehensive access to sexual and reproductive health resources, child care and mental health resources.",Minister of National Defence,Minister of National Defence; Minister for Women and Gender Equality and Youth; Minister of Veterans Affairs and Associate Minister of National Defence; Minister of Health
2312,"Increase investments to understand and address the clinical, occupational and deployment health needs of CAF women.",Minister of National Defence,Minister of National Defence; Minister for Women and Gender Equality and Youth; Minister of Veterans Affairs and Associate Minister of National Defence; Minister of Health
2313,Co-design with survivors and fully fund a permanent peer-to-peer support program for those who have experienced military sexual trauma that is available to all members of the Defence Team and their families.,Minister of National Defence,Minister of National Defence; Minister of Veterans Affairs and Associate Minister of National Defence; Minister for Women and Gender Equality and Youth
2314,"Contribute to Canada’s response to COVID-19, including by responding to Requests for Federal Assistance.",Minister of National Defence,Minister of National Defence; Minister of Public Safety; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness
2315,"Continue contributing to Canada’s response to COVID-19, including by protecting the health and safety of CAF members at home and abroad, ensuring the continued effectiveness of CAF deployments.",Minister of National Defence,Minister of National Defence; Minister of Public Safety; Minister of Health; Minister of Foreign Affairs
2316,Improve the diversity of the CAF.,Minister of National Defence,Minister of National Defence; Minister for Women and Gender Equality and Youth
2318,Expand Canada’s long and short-range strategic airlift capability to increase Canada’s contribution to NATO coalition and allied military operations abroad.,Minister of National Defence,Minister of National Defence; Minister of Foreign Affairs; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada
2319,"Expand Canada’s engagement with allies, partners and international organizations in order to promote peace and security, provide humanitarian assistance and support international emergency responses, including the deployment of CAF personnel to provide assistance, training or operational support to enhance international peace, security and stability and continued support for UN operations.",Minister of National Defence,Minister of National Defence; Minister of Foreign Affairs; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada
2321,Modernize NORAD by replacing the North Warning System.,Minister of National Defence,Minister of National Defence
2322,Modernize NORAD by deploying new technological solutions to improve surveillance and monitoring of northern and maritime approaches.,Minister of National Defence,"Minister of National Defence; Minister of Innovation, Science and Industry; Minister of Public Services and Procurement; Minister of Public Safety"
2323,Modernize CAF and NORAD command and control systems to deter and defeat aerospace threats to North America.,Minister of National Defence,Minister of National Defence
