ID,Commitment,Reporting Lead,Reporting Lead Name,All ministers
LPC-208,"Protect K-12 education on-reserve so that more First Nations kids can go to school surrounded by their language, culture, and communities.","Minister of Indigenous Services","Mandy Gull-Masty","Minister of Finance"
LPC-209,"Expand the Indigenous Loan Guarantee Program from $5 billion to $10 billion and increase the sectoral scope.","Minister of Finance","François-Philippe Champagne","Minister of Indigenous Services; Minister of Crown-Indigenous Relations; Minister of Energy and Natural Resources"
LPC-210,"Build together with First Nations, Inuit, and Métis communities the critical infrastructure needed all across the country by: Expanding the kinds of projects the Canada Infrastructure Bank can support to be more in line with First Nation, Inuit, and Métis priorities.","Minister of Housing and Infrastructure","Gregor Robertson","Minister of Indigenous Services; Minister of Crown-Indigenous Relations; Minister of Finance"
LPC-211,"Build critical Indigenous infrastructure by: Exploring options for an Indigenous Infrastructure Bank to address access to capital.","Minister of Finance","François-Philippe Champagne","Minister of Indigenous Services; Minister of Crown-Indigenous Relations; Minister of Housing and Infrastructure"
LPC-212,"Build critical Indigenous infrastructure by: Determining the best path forward towards First Nations 10-year infrastructure plans.","Minister of Indigenous Services","Mandy Gull-Masty","Minister of Housing and Infrastructure; Minister of Crown-Indigenous Relations"
LPC-213,"Build critical Indigenous infrastructure by: Realizing First Nations control over First Nations infrastructure wherever possible through models like the First Nations Atlantic Water Authority.","Minister of Indigenous Services","Mandy Gull-Masty","Minister of Housing and Infrastructure; Minister of Crown-Indigenous Relations"
LPC-214,"Build critical Indigenous infrastructure by: Working in partnership with Indigenous communities and Indigenous housing providers to directly support building housing including in urban, rural, and northern Indigenous communities.","Minister of Housing and Infrastructure","Gregor Robertson","Minister of Indigenous Services; Minister of Crown-Indigenous Relations; Secretary of State (Rural Development); Minister of Northern and Arctic Affairs"
LPC-215,"Increase lands added to reserves within the next four years and work with First Nations to accelerate additions to reserve.","Minister of Crown-Indigenous Relations","Rebecca Alty","Minister of Indigenous Services"
LPC-216,"Immediately introduce and pass legislation affirming that First Nations have a human right to clean drinking water.","Minister of Indigenous Services","Mandy Gull-Masty","Minister of Justice and Attorney General of Canada; Minister of Health"
LPC-217,"Revitalize Indigenous languages by supporting community-driven projects that restore, protect, and promote this important part of First Nations, Inuit, and Métis cultures and histories.","Minister of Canadian Identity and Culture","Steven Guilbeault","Minister of Indigenous Services; Minister of Crown-Indigenous Relations; Minister of Finance"
LPC-218,"Increase investments for Indigenous mental health, healing and wellness centres, and friendship centres.","Minister of Indigenous Services","Mandy Gull-Masty","Minister of Health; Minister of Finance"
LPC-219,"Co-develop evidence-based food security approaches to replace Nutrition North Canada with Inuit and Northern Indigenous leaders.","Minister of Northern and Arctic Affairs and Minister responsible for the Canadian Northern Economic Development Agency","Rebecca Chartrand","Minister of Crown-Indigenous Relations; Minister of Indigenous Services; Minister of Health; Minister of Agriculture and Agri-Food"
LPC-220,"Double First Nation, Inuit, and Métis capacity funding to contribute to major project assessments for more consistent, fair, and meaningful consultations.","Minister of Crown-Indigenous Relations","Rebecca Alty","Minister of Indigenous Services; Minister of Finance"
LPC-221,"Establish a new Indigenous Climate Readiness and Adaptation Fund and support Indigenous-led conservation initiatives to safeguard forests, waterways, oceans and wildlife and to bolster disaster response activities.","Minister of Environment and Climate Change","Julie Dabrusin","Minister of Crown-Indigenous Relations; Minister of Indigenous Services; Minister of Emergency Management and Community Resilience; Secretary of State (Nature); Minister of Finance"
LPC-222,"Work with First Nation, Inuit, and Métis peoples to advance economic reconciliation, including reforms that enable Indigenous-led initiatives.","Minister of Crown-Indigenous Relations","Rebecca Alty","Minister of Indigenous Services; Minister of Finance; Minister of Industry"
LPC-223,"Continue to support Indigenous Early Learning and Child Care.","Minister of Jobs and Families","Patty Hajdu","Minister of Indigenous Services; Secretary of State (Children and Youth)"
LPC-224,"Continue to partner with Inuit to eliminate tuberculosis in Inuit Nunangat by 2030.","Minister of Indigenous Services","Mandy Gull-Masty","Minister of Health; Minister of Northern and Arctic Affairs"
LPC-225,"Continue to fund Jordan's Principle.","Minister of Indigenous Services","Mandy Gull-Masty","Minister of Finance"
LPC-226,"Continue to fund Inuit Child First Initiative.","Minister of Indigenous Services","Mandy Gull-Masty","Secretary of State (Children and Youth); Minister of Finance"
LPC-227,"Continue the work on child welfare reform.","Minister of Indigenous Services","Mandy Gull-Masty","Secretary of State (Children and Youth); Minister of Justice and Attorney General of Canada"
LPC-228,"Cut income taxes for the middle class and save dual-income families up to $825 a year. Reduce the marginal tax rate on the lowest tax bracket by 1 percentage point. This will come into effect on Canada Day 2025.","Minister of Finance","François-Philippe Champagne","Secretary of State (Canada Revenue Agency and Financial Institutions)"
LPC-229,"Cut the GST for first-time homebuyers on homes up to $1 million. In recognition of the high costs of homes in more expensive housing markets, also lower the GST on homes between $1 million and $1.5 million for first-time buyers.","Minister of Finance","François-Philippe Champagne","Minister of Housing and Infrastructure; Secretary of State (Canada Revenue Agency and Financial Institutions)"
LPC-230,"Get Canadians the benefits they deserve by delivering automatic tax filing starting with low-income households and seniors.","Minister of Finance","François-Philippe Champagne","Minister of Jobs and Families; Secretary of State (Seniors); Secretary of State (Canada Revenue Agency and Financial Institutions)"
LPC-231,"Make mortgage payments more affordable by reviewing Canada's mortgage market with the objective to offer Canadians more options while retaining stability in the market. This work will look at barriers to longer interest rate terms on mortgages, which would give Canadians more financial stability.","Minister of Finance","François-Philippe Champagne","Minister of Housing and Infrastructure; Secretary of State (Canada Revenue Agency and Financial Institutions)"
LPC-232,"Fund home retrofits and lower utility bills while making it easier for low- and middle-income households, including renters, to adopt heat pumps and energy efficiency upgrades. Eligible costs could include insulation upgrades, heat pump installation, and window replacements.","Minister of Energy and Natural Resources","Tim Hodgson","Minister of Environment and Climate Change; Minister of Housing and Infrastructure; Minister of Finance"
LPC-233,"Lower household risks to floods and wildfires, directly helping Canadian families to protect against floods, wildfires, and other extreme weather events. Use a reformed carbon credit market to finance these climate conscious choices, meaning that big polluters will pay.","Minister of Emergency Management and Community Resilience","Eleanor Olszewski","Minister of Environment and Climate Change; Minister of Finance"
LPC-234,"Amend the Greenhouse Gas Pollution Pricing Act to legislate the repeal of the consumer ""carbon tax"" after it was cancelled on Day One, in March 2025. Do this while making sure big polluters pay and delivering a bold plan to reduce emissions and drive investments in clean technologies.","Minister of Finance","François-Philippe Champagne","Minister of Environment and Climate Change; Minister of Justice and Attorney General of Canada"
LPC-235,"Create Build Canada Homes (BCH) to get the federal government back into the business of building homes.","Minister of Housing and Infrastructure","Gregor Robertson","Minister of Finance"
LPC-236,"Through BCH, Canada will: Act as a developer to build affordable housing at scale, including on public lands.","Minister of Housing and Infrastructure","Gregor Robertson","Minister of Government Transformation, Public Works and Procurement"
LPC-237,"Through BCH, Canada will: Build faster, smarter, sustainable, more affordable homes by providing over $25 billion in financing to innovative prefabricated home builders in Canada, including those using Canadian technologies and resources like mass timber and softwood lumber. BCH will also issue bulk orders of units from manufacturers to create sustained demand.","Minister of Housing and Infrastructure","Gregor Robertson","Minister of Finance; Minister of Industry; Minister of Energy and Natural Resources"
LPC-238,"Through BCH, Canada will: Support affordable homebuilders by injecting $10 billion in low-cost financing and capital for homes that support middle- and low-income Canadians. This will include housing for students, seniors, Veterans, people with disabilities, and Indigenous housing, shelters, and more.","Minister of Housing and Infrastructure","Gregor Robertson","Minister of Finance; Minister of Jobs and Families; Secretary of State (Seniors); Minister of Veterans Affairs; Minister of Indigenous Services"
LPC-239,"Through BCH, Canada will: Prioritize -sustainable building including sustainably sourced wood, recycled content, and low-emissions materials.","Minister of Housing and Infrastructure","Gregor Robertson","Minister of Environment and Climate Change"
LPC-240,"Through BCH, Canada will: Incentivize companies to hire apprentices and recent graduates by establishing new requirements on federal contribution agreements to major projects that commit industry partners to include significant opportunities for young Canadians.","Minister of Housing and Infrastructure","Gregor Robertson","Minister of Jobs and Families; Secretary of State (Children and Youth); Secretary of State (Labour)"
LPC-241,"Cut municipal development charges in half for multi-unit residential housing for five years by working with provinces and territories to keep municipalities whole. These revenues will be offset by federal investment in housing infrastructure like water, power lines, and wastewater systems.","Minister of Housing and Infrastructure","Gregor Robertson","Minister of Finance; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-242,"Reintroduce a tax incentive for home builders known as the Multi-Unit Rental Building (MURB), which, in the 1970s, spurred tens of thousands of rental housing units across the country.","Minister of Finance","François-Philippe Champagne","Minister of Housing and Infrastructure"
LPC-243,"Facilitate the conversion of existing structures into affordable housing units.","Minister of Housing and Infrastructure","Gregor Robertson",""
LPC-244,"Build on the success of the Housing Accelerator Fund, further reducing housing bureaucracy, zoning restrictions, and other red tape so that builders only need to navigate one housing market, instead of thirteen. And publicly report on municipalities' progress to speed up permitting and approval timelines.","Minister of Housing and Infrastructure","Gregor Robertson","President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-245,"Speed up approvals by reforming and simplifying national building codes; eliminating duplicative inspections and streamlining regulations for prefabricated and modular housing; leveraging pre-approved, standardized housing designs across all public lands and encouraging the adoption of the designs as-of-right across the country; allowing builders and other orders of government to apply for multiple projects at once; and fast tracking builders who have a proven record with government.","Minister of Housing and Infrastructure","Gregor Robertson","President of the Treasury Board; Minister of Industry"
LPC-246,"Build federal homes in ways that reduce the risk of costly damages. To protect homeowners and renters from costly flood and wildfire risks, federally supported housing will not be built in areas that are at high risk for floods and wildfires.","Minister of Housing and Infrastructure","Gregor Robertson","Minister of Emergency Management and Community Resilience; Minister of Environment and Climate Change"
LPC-247,"Stand up Canada's high-risk flood insurance program by April 2026 to support homeowners to reduce their exposure to future climate risk. Expedite work with provinces, territories, and industry to finalize this low-cost program.","Minister of Emergency Management and Community Resilience","Eleanor Olszewski","Minister of Finance; Minister of Public Safety; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-248,"Return immigration to sustainable levels by capping the total number of temporary workers and international students to less than 5% of Canada's population by the end of 2027, from a past high of 7.3%, to ease the strain on housing, public infrastructure, and our social services.","Minister of Immigration, Refugees and Citizenship","Lena Metlege Diab","Minister of Housing and Infrastructure; Minister of Jobs and Families"
LPC-249,"Stabilize permanent resident admissions at less than 1% of Canada's population annually beyond 2027 with a focus on attracting top global talent that will drive economic growth and prosperity. Our immigration plan will also allow for the reunification of families, while maintaining Canada's global leadership in prioritizing the world's most vulnerable, including human rights defenders and refugees.","Minister of Immigration, Refugees and Citizenship","Lena Metlege Diab","Minister of Industry; Minister of Jobs and Families"
LPC-250,"Attract the best talent in the world to build our economy by revitalizing the Global Skills Strategy to help high-growth Canadian businesses and entrepreneurs with new projects that will support Canada's strategic economic growth. This includes attracting highly skilled talent from the United States who can help grow the economy here in Canada.","Minister of Immigration, Refugees and Citizenship","Lena Metlege Diab","Minister of Industry; Minister of Jobs and Families"
LPC-251,"Work with provinces and territories to streamline and speed up recognition of foreign credentials and international professional experience, so that those who come to Canada can contribute their skills to the economy more quickly upon arrival.","Minister of Immigration, Refugees and Citizenship","Lena Metlege Diab","Minister of Jobs and Families; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-252,"Work towards a fairer and faster process and enhance service delivery for applicants by leveraging digital service tools to reduce processing times and eliminate backlogs to ensure that our immigration system is more reliable for families, businesses, and applicants.","Minister of Immigration, Refugees and Citizenship","Lena Metlege Diab","Minister of Artificial Intelligence and Digital Innovation"
LPC-253,"Support legal aid for asylum seekers and refugees so that claimants receive timely advice and representation, have their cases resolved as quickly as possible, and reduce unnecessary appeals.","Minister of Justice and Attorney General of Canada","Sean Fraser","Minister of Immigration, Refugees and Citizenship; Minister of Finance"
LPC-254,"Move forward with a credible and fair immigration system that removes failed claimants once due process has been accorded, reinforcing the system's integrity.","Minister of Immigration, Refugees and Citizenship","Lena Metlege Diab","Minister of Public Safety"
LPC-255,"Strengthen the integrity of the border by increasing resources for security screenings, quickly identifying and removing inadmissible individuals, tightening visa requirements, and enhancing enforcement against immigration fraud.","Minister of Public Safety","Gary Anandasangaree","Minister of Immigration, Refugees and Citizenship"
LPC-256,"Continue to respect that immigration, both permanent and temporary, is a shared responsibility with the Government of Quebec. Share their commitment, within the Canada-Québec Accord, to responsible immigration levels that protect the French language and Quebec's unique culture.","Minister of Immigration, Refugees and Citizenship","Lena Metlege Diab","Minister of Canadian Identity and Culture; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-257,"Establish a 12% target for Francophone immigration outside of Quebec by 2029, a 20% increase from current targets, to strengthen Francophone communities throughout Canada.","Minister of Immigration, Refugees and Citizenship","Lena Metlege Diab","Minister of Canadian Identity and Culture"
LPC-258,"Strengthen federal, provincial, and territorial collaboration by enhancing cooperation between governments, agencies, and organizations to enable real-time information sharing on claimant status, removals, and settlement supports to improve efficiency and service delivery.","Minister of Immigration, Refugees and Citizenship","Lena Metlege Diab","President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Public Safety"
LPC-259,"Kickstart the clean energy supply chain by investing in critical minerals, attracting investment in critical minerals to get them from ""rock to road"" faster, supporting early-stage mining companies, and supporting thousands of jobs across the supply chain.","Minister of Energy and Natural Resources","Tim Hodgson","Minister of Finance; Minister of Industry; Minister of Transport and Internal Trade"
LPC-260,"Connect critical mineral projects to supply chains through a new First and Last Mile Fund (FLMF).","Minister of Energy and Natural Resources","Tim Hodgson","Minister of Transport and Internal Trade; Minister of Finance"
LPC-261,"Directly support clean energy and critical mineral projects through the FLMF, reducing our reliance on other countries and protecting Canadian jobs. This will include supporting on-site development, processing, and refining capacity.","Minister of Energy and Natural Resources","Tim Hodgson","Minister of Finance"
LPC-262,"Accelerate exploration and extraction, including investing in prospecting activities and recovering valuable minerals from end-of-life products like mining waste and batteries, contributing to a circular economy.","Minister of Energy and Natural Resources","Tim Hodgson","Minister of Environment and Climate Change"
LPC-263,"Attract, expand, and derisk investments in critical minerals exploration and extraction through the expansion of existing tax credits by: Broadening the Critical Mineral Exploration Tax Credit by expanding qualifying minerals to include critical minerals necessary for defence, semiconductors, energy, and other clean technologies.","Minister of Finance","François-Philippe Champagne","Minister of Energy and Natural Resources"
LPC-264,"Attract, expand, and derisk investments in critical minerals exploration and extraction by: Expanding eligible activities under Canadian exploration expenses to include the costs of technical studies, such as engineering, economic and feasibility studies for critical minerals projects.","Minister of Finance","François-Philippe Champagne","Minister of Energy and Natural Resources"
LPC-265,"Attract, expand, and derisk investments in critical minerals exploration and extraction by: Modifying the Clean Technology Manufacturing Investment Tax Credit to include critical mineral mine development expenses for brownfield sites while expanding the list of priority critical minerals.","Minister of Finance","François-Philippe Champagne","Minister of Energy and Natural Resources; Minister of Environment and Climate Change"
LPC-266,"Invest in ourselves by providing funding for projects of national and economic significance and leveraging the Canada Growth Fund to accelerate private investment in Canadian critical minerals projects.","Minister of Finance","François-Philippe Champagne","Minister of Energy and Natural Resources"
LPC-267,"Expand Canada's electric vehicle (EV) charging network by supporting the building of thousands of new stations by 2027. Also look at ways to reintroduce a purchase incentive worth up to $5,000 that supports Canadian workers and strengthens our domestic supply chains.","Minister of Transport and Internal Trade","Chrystia Freeland","Minister of Energy and Natural Resources; Minister of Environment and Climate Change; Minister of Finance; Minister of Industry"
LPC-268,"Examine measures to reduce Canada's reliance on imported clean fuels as part of our plan to support Canadian farmers and businesses.","Minister of Energy and Natural Resources","Tim Hodgson","Minister of Environment and Climate Change; Minister of Agriculture and Agri-Food"
LPC-269,"Secure Canada's energy and electricity sovereignty.","Minister of Energy and Natural Resources","Tim Hodgson",""
LPC-270,"Move forward on Canada's six major investment tax credits (ITCs) that support clean energy and technology – the Carbon Capture, Utilization, and Storage ITC, Clean Technology ITC, Clean Electricity ITC, Clean Hydrogen ITC, Clean Technology Manufacturing ITC, and Electric Vehicle Supply Chain ITC.","Minister of Finance","François-Philippe Champagne","Minister of Energy and Natural Resources; Minister of Environment and Climate Change; Minister of Industry"
LPC-271,"Continue to be a world leader in Carbon Capture, Utilization, and Storage technology so that Canada is a world leader in responsible energy production.","Minister of Energy and Natural Resources","Tim Hodgson","Minister of Environment and Climate Change"
LPC-272,"Expedite project reviews, including for major energy infrastructure.","President of the Treasury Board","Shafqat Ali","Minister of Energy and Natural Resources; Minister of Environment and Climate Change"
LPC-273,"Bring our energy potential to the world.","Minister of Energy and Natural Resources","Tim Hodgson","Minister of International Trade"
LPC-274,"Safeguard our resources from predatory investors.","Minister of Industry","Mélanie Joly","Minister of Finance"
LPC-275,"Finalize and implement the voluntary made-in-Canada sustainable investment guidelines for every priority sector by fall 2026.","Minister of Finance","François-Philippe Champagne","Minister of Environment and Climate Change"
LPC-276,"Issue Canada's first-ever transition bonds by 2027, to finance projects that help industrial and agricultural sectors get cleaner and more competitive. The federal government will issue at least $10 billion per year through new bonds.","Minister of Finance","François-Philippe Champagne","Minister of Environment and Climate Change; Minister of Industry; Minister of Agriculture and Agri-Food"
LPC-277,"Lead by example and reduce energy bills, in government-owned buildings by phasing out fossil fuel use by 2030.","Minister of Government Transformation, Public Works and Procurement","Joël Lightbound","President of the Treasury Board; Minister of Environment and Climate Change"
LPC-278,"Ensure new federal buildings will be top performers in energy efficiency by adopting the top tiers for energy efficiency and greenhouse gas emissions reductions.","Minister of Government Transformation, Public Works and Procurement","Joël Lightbound","President of the Treasury Board; Minister of Environment and Climate Change"
LPC-279,"Invest in the prefabricated and modular housing industry to reduce home construction emissions by up to 22% compared to traditional construction methods.","Minister of Housing and Infrastructure","Gregor Robertson","Minister of Industry; Minister of Environment and Climate Change; Minister of Finance"
LPC-280,"Make sure big emitters pay while protecting the competitiveness of Canadian industry. Improve the Output-Based Pricing System (OBPS) for large industrial emitters and actively work with provincial and territorial governments to ensure carbon markets continue to function well, reduce barriers to harmonizing and linking these markets across the country, and ensure they establish a long-term signal to lock in investments.","Minister of Environment and Climate Change","Julie Dabrusin","Minister of Finance; Minister of Industry; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-281,"Enable opportunities for big polluters to support consumers in lowering their carbon footprint. Work with provinces and territories to seek ways for large emitters to support consumer adoption of green technologies and retrofits, such as heat pumps and electric vehicles, which also help lower household energy bills.","Minister of Environment and Climate Change","Julie Dabrusin","Minister of Energy and Natural Resources; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-282,"Promote fair competition with our trading partners by developing a Carbon Border Adjustment Mechanism.","Minister of Finance","François-Philippe Champagne","Minister of Environment and Climate Change; Minister of International Trade; Minister of Industry"
LPC-283,"Support carbon contracts for difference to derisk investments in the clean economy and further foster Canada's clean industrial competitive advantage. Also work with industry to make sure that emissions decline to achieve our climate goals, including through enhanced final oil and gas methane regulations that support innovation in Canadian technology.","Minister of Finance","François-Philippe Champagne","Minister of Environment and Climate Change; Minister of Energy and Natural Resources; Minister of Industry"
LPC-284,"Become a world leader in carbon removal and sequestration by establishing Canada as a world leading hub for carbon removal and sequestration technology. Ensure that the full value of the Carbon Capture Utilization and Storage Investment Tax Credit (CCUS ITC) is extended to 2035, support a broad range of technologies and innovation in carbon removal, accelerate offset protocol development across a range of carbon removal technologies, and establish a separate carbon removal target for Canada for 2035 and 2040.","Minister of Environment and Climate Change","Julie Dabrusin","Minister of Energy and Natural Resources; Minister of Finance"
LPC-285,"Establish broad coverage of climate risk disclosure for companies across Canada.","Minister of Finance","François-Philippe Champagne","Minister of Environment and Climate Change"
LPC-286,"Speed up the approval of clean energy projects while upholding environmental rigour and Indigenous rights.","President of the Treasury Board","Shafqat Ali","Minister of Environment and Climate Change; Minister of Energy and Natural Resources; Minister of Crown-Indigenous Relations"
LPC-287,"Cancel the proposed hike in the capital gains inclusion rate.","Minister of Finance","François-Philippe Champagne",""
LPC-288,"Reduce the cost of investment for Canadian companies and make sure they are internationally competitive by extending immediate expensing for manufacturing or processing machinery and equipment, clean energy generation, energy conservation equipment, and zero-emission vehicles, as well as the Accelerated Investment Incentive.","Minister of Finance","François-Philippe Champagne","Minister of Industry"
LPC-289,"Drive increased private sector investment in research and development by increasing, to $6 million, the claimable amount under the Scientific Research and Experimental Development Tax Incentive Program (SR&ED) for Canadian companies, along with other reforms, to drive economic growth for small- and medium-sized businesses.","Minister of Finance","François-Philippe Champagne","Minister of Industry"
LPC-290,"Invest in our homegrown startups by recapitalizing the Venture Capital Catalyst Initiative (VCCI) by $1 billion. This will include a defence-specific stream to catalyze our early-stage defence companies.","Minister of Finance","François-Philippe Champagne","Minister of Industry; Minister of National Defence"
LPC-291,"Incentivize investment in innovation, especially in Canada's startups, to help them grow and scale by introducing flow-through shares to our Canadian startup ecosystem, supporting companies in AI, quantum computing, biotech, and advanced manufacturing to raise money faster.","Minister of Finance","François-Philippe Champagne","Minister of Industry; Minister of Artificial Intelligence and Digital Innovation"
LPC-292,"Bring IP back to Canada and attract talent by creating a Canada Patent Box that will reward builders who locate or stay in Canada.","Minister of Industry","Mélanie Joly","Minister of Finance"
LPC-293,"Make the Black Entrepreneurship Program permanent and provide ongoing funding to support Black-owned businesses.","Minister of Industry","Mélanie Joly","Minister of Finance; Secretary of State (Small Business and Tourism)"
LPC-294,"Secure the Canadian advantage in strategic industries like biomanufacturing, quantum computing, and ag-tech.","Minister of Industry","Mélanie Joly","Minister of Health; Minister of Artificial Intelligence and Digital Innovation; Minister of Agriculture and Agri-Food"
LPC-295,"Invest in the Women's Economic and Leadership Opportunities Fund.","Minister of Women and Gender Equality","Rechie Valdez","Minister of Finance"
LPC-296,"Build AI infrastructure by: Investing in nation-building energy infrastructure and cutting red tape to make Canada the best place in the world to build data centres.","Minister of Artificial Intelligence and Digital Innovation","Evan Solomon","Minister of Energy and Natural Resources; Minister of Housing and Infrastructure; President of the Treasury Board"
LPC-297,"Build AI infrastructure by: Building the next generation of data centres quickly and efficiently by leveraging federal funding and partnering with the private sector to secure Canada's technological advantage.","Minister of Artificial Intelligence and Digital Innovation","Evan Solomon","Minister of Finance"
LPC-298,"Invest in AI training, adoption, and commercialization by: Measuring growth by tracking the economic impacts of AI in real-time – not just occasionally - so we can proactively help Canadians seize new opportunities, boost productivity, and ensure no one is left behind.","Minister of Artificial Intelligence and Digital Innovation","Evan Solomon","Minister of Industry"
LPC-299,"Invest in AI training, adoption, and commercialization by: Boosting adoption with a new AI deployment tax credit for small and medium-sized businesses that incentivizes businesses to leverage AI to boost their bottom lines, create jobs, and support existing employees.","Minister of Finance","François-Philippe Champagne","Minister of Artificial Intelligence and Digital Innovation; Minister of Industry; Secretary of State (Small Business and Tourism)"
LPC-300,"Invest in AI training, adoption, and commercialization by: Catalyzing commercialization by expanding successful programs at Canada's AI institutes (Mila, Vector, Amii) so that we can connect more Canadian researchers and startups with businesses across the country, which will supercharge adoption of Canadian innovation in businesses, create jobs, and strengthen our AI ecosystem.","Minister of Artificial Intelligence and Digital Innovation","Evan Solomon","Minister of Industry"
LPC-301,"Improve AI procurement by: Establishing a dedicated Office of Digital Transformation at the centre of government to proactively identify, implement, and scale technology solutions and eliminate duplicative and redundant red tape.","Minister of Government Transformation, Public Works and Procurement","Joël Lightbound","Minister of Artificial Intelligence and Digital Innovation; President of the Treasury Board"
LPC-302,"Improve AI procurement by: Enabling the Office of Digital Transformation to centralize innovative procurement and take a whole-of-government approach to service delivery improvement. This could mean using AI to address government service backlogs and improve service delivery times, so that Canadians get better services, faster.","Minister of Government Transformation, Public Works and Procurement","Joël Lightbound","Minister of Artificial Intelligence and Digital Innovation; President of the Treasury Board"
LPC-303,"Attract leading researchers to Canadian institutions by creating the Canadian Sovereignty and Resilience Research Fund.","Minister of Industry","Mélanie Joly","Minister of Finance; Minister of Foreign Affairs"
LPC-304,"Finalize Canada's modernization of science and research, through the creation of a capstone organization that will ensure the federal granting agencies are driving mission-driven research that brings Canadian expertise to big global challenges and effectively commercializes homegrown ideas.","Minister of Industry","Mélanie Joly",""
LPC-305,"Enable the fuller inclusion of people with disabilities in academic, social, and professional life by requiring Canadian publishers to provide an accessible copy of all e-books produced or released in Canada by 2030.","Minister of Canadian Identity and Culture","Steven Guilbeault","Minister of Jobs and Families"
LPC-306,"Continue to support workers affected by President Trump's unjust trade war through the revenues from counter tariffs by: Temporarily waiving the one-week EI waiting period.","Minister of Jobs and Families","Patty Hajdu","Minister of Finance"
LPC-307,"Continue to support workers affected by President Trump's unjust trade war through the revenues from counter tariffs by: Suspending rules around separation for a six-month period, so workers don't have to wait to get EI until they have exhausted their severance pay.","Minister of Jobs and Families","Patty Hajdu",""
LPC-308,"Continue to support workers affected by President Trump's unjust trade war through the revenues from counter tariffs by: Making it easier to access EI through increasing regional unemployment rate percentages.","Minister of Jobs and Families","Patty Hajdu",""
LPC-309,"Strengthen our social safety net and ensure no one is left behind. As a priority over the next year, work to enhance the Employment Insurance system to better reflect the modern workforce with flexible, reliable support.","Minister of Jobs and Families","Patty Hajdu","Secretary of State (Labour)"
LPC-310,"Provide a new Apprenticeship Grant of up to $8,000 for registered apprentices. Should an apprentice not complete their program within established timelines, the grant converts to an interest-free loan. This is in addition to the $20,000 interest-free Canada Apprentice Loans available to apprentices progressing through training. Work with First Nation, Inuit, and Métis communities to raise awareness of the new grant. And make certain expenses eligible that make it easier and more affordable for women to apprentice in the trades.","Minister of Jobs and Families","Patty Hajdu","Minister of Finance; Secretary of State (Labour); Minister of Indigenous Services; Minister of Women and Gender Equality"
LPC-311,"Increase access to union-led training initiatives by permanently doubling the funding of the Union Training and Innovation Program from $25 million to $50 million. This funding will now support investments in training spaces and classrooms, supporting any of the Red Seal trades.","Minister of Jobs and Families","Patty Hajdu","Minister of Finance; Secretary of State (Labour)"
LPC-312,"Establish a new $20 million capital funding stream for colleges to support new training spaces, such as classrooms, for apprenticeships. Also work with provinces and territories to increase operating funding for trade colleges, building on the successes of jurisdictions like Quebec, which has been a leader in funding apprenticeship and vocational training, as well as strategic workplace apprenticeships.","Minister of Jobs and Families","Patty Hajdu","Minister of Finance; Secretary of State (Labour); President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-313,"Uphold the Apprenticeship Service program to support employers in hiring new apprentices in Red Seal trades, with $5,000 for first-year apprentices and $10,000 for women, people with disabilities, and other underrepresented groups.","Minister of Jobs and Families","Patty Hajdu","Secretary of State (Labour); Minister of Women and Gender Equality"
LPC-314,"Increase labour mobility for skilled trades people between provinces and territories to address labour shortages. By increasing internal trade, build one Canadian economy – instead of thirteen – where qualified workers can work anywhere in Canada.","Minister of Jobs and Families","Patty Hajdu","President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Secretary of State (Labour)"
LPC-315,"Expand the Labour Mobility Tax Deduction to ensure workers who travel more than 120 km from their home to a job site can deduct their expenses. Also committed to significantly increasing the per-year tax deduction limit upon consultation with key industries.","Minister of Finance","François-Philippe Champagne","Minister of Jobs and Families; Secretary of State (Labour)"
LPC-316,"Launch a new training and upskilling benefit worth up to $15,000 for workers in the middle of their careers. This benefit will be targetted to workers in priority sectors including manufacturing, health care, construction, AI, and technology.","Minister of Jobs and Families","Patty Hajdu","Minister of Finance; Minister of Industry; Minister of Health; Minister of Housing and Infrastructure; Minister of Artificial Intelligence and Digital Innovation"
LPC-317,"Ensure that Canadian workers impacted by tariffs have the necessary tools to pursue good paying jobs and advance their careers in priority sectors. Design these supports in partnership with labour, employers, and industry.","Minister of Jobs and Families","Patty Hajdu","Secretary of State (Labour); Minister of Industry"
