commitment_id,canonical_commitment_text,appears_in,reporting_lead_title,all_other_ministers_involved,notes_and_differences
LPC-181,"Make generational housing investments to double the pace of construction and drive down the cost of homes, rent, and mortgage payments.",Both,Minister of Housing and Infrastructure,Minister of Finance; Secretary of State (Children and Youth),"Matches SFT_012 (double home building rate, create new housing industry) and SFT_017 (drive supply up to bring housing costs down). Platform is a broad goal; SFT_012 adds focus on Canadian technology, workers, and lumber."
LPC-182,Offer the Canada Strong Pass so young Canadians can discover Canada this summer.,Platform Only,Minister of Canadian Identity and Culture,Secretary of State (Children and Youth),Platform-specific commitment. Related to LPC-037.
LPC-183,"Provide 100,000 young people a year with mental health care by establishing a permanent Youth Mental Health Fund.",Platform Only,Minister of Health,Secretary of State (Children and Youth); Minister of Finance,Platform-specific commitment. Related to LPC-145.
LPC-184,"Provide a new Apprenticeship Grant of up to $8,000 for registered apprentices.",Platform Only,Minister of Jobs and Families,Minister of Finance; Secretary of State (Labour),Platform-specific commitment. Related to LPC-310.
LPC-185,"Stand up for the Canadian Charter of Rights and Freedoms, protecting the values it was founded on, which are under threat, and ensuring the protection of our most vulnerable people.",Both,Minister of Justice and Attorney General of Canada,nan,Matches SFT_038 (always protect the rights and freedoms that the Charter guarantees). Platform adds protecting 'values it was founded on' and 'protection of our most vulnerable people'.
LPC-186,Enable Canadians to take more action to affirm their rights by expanding the Court Challenges Program.,Platform Only,Minister of Justice and Attorney General of Canada,Minister of Finance,Platform-specific commitment.
LPC-187,"Build a Canada where everyone has a fair shot, feels a sense of belonging, and contributes to our shared future by reshaping systems to better reflect and support all Canadians and make sure that no matter your heritage or identity you can fully participate in Canada.",Platform Only,"President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Minister of Canadian Identity and Culture; Minister of Justice and Attorney General of Canada,Platform-specific commitment. Broadly related to SFT_001.
LPC-188,"Confront systemic barriers and create opportunities for Indigenous Peoples, Black Canadians, and racialized communities, ensuring equal treatment and access in all aspects of Canadian society.",Platform Only,Minister of Justice and Attorney General of Canada,Minister of Crown-Indigenous Relations; Minister of Indigenous Services; Minister of Canadian Identity and Culture,Platform-specific commitment.
LPC-189,Make funding permanent for the 2SLGBTQI+ Community Capacity Fund to support community organizations and networks that protect rights and advance equality across Canada.,Platform Only,Minister of Women and Gender Equality,Minister of Finance,Platform-specific commitment.
LPC-190,"Review and reform the process to apply for the Disability Tax Credit (DTC) now that the DTC has become the gateway to key federal programs like the Canada Disability Benefit, the CCB for children with disabilities, the dental benefit, and various other programs. Also consider expanding the eligibility criteria to include additional impairments.",Platform Only,Minister of Finance,Minister of Jobs and Families; Minister of Health; Secretary of State (Canada Revenue Agency and Financial Institutions),Platform-specific commitment.
LPC-191,"Guarantee equal access to justice for people with disabilities by developing a Disability Justice Framework to address long-standing inequities, biases, and systemic discrimination against persons with disabilities within the justice system and before the law.",Platform Only,Minister of Justice and Attorney General of Canada,Minister of Jobs and Families,Platform-specific commitment.
LPC-192,"Make the Sexual and Reproductive Health Fund Program permanent, so that there will always be funding for abortion care in Canada, with access to reproductive care protected for underserved communities.",Platform Only,Minister of Health,Minister of Women and Gender Equality; Minister of Finance,Platform-specific commitment. Related to LPC-142.
LPC-193,"Establish a new in vitro fertilization (IVF) program that provides up to $20,000 for a single standard cycle of IVF treatment, making it more affordable for Canadians who want to become parents, especially 2SLGBTQI+ Canadians who face a costly journey to parenthood. Work with the provinces and territories to make sure more Canadians can access this support.",Platform Only,Minister of Health,"Minister of Women and Gender Equality; Minister of Finance; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Platform-specific commitment.
LPC-194,"Address the under-researched area of postpartum maternal health by investing in research into postpartum maternal health to fund studies and track outcomes, disparities, and service gaps, and inform future investments so that women get better care after giving birth.",Platform Only,Minister of Health,Minister of Women and Gender Equality; Minister of Finance,Platform-specific commitment.
LPC-195,"Invest in increased collection of data to help address women's health gaps in Canada, particularly in understudied areas of menopause, endometriosis, maternal mortality and morbidity, stillbirth, and perinatal health.",Platform Only,Minister of Health,Minister of Women and Gender Equality,Platform-specific commitment.
LPC-196,"Work to end gender-based violence by continuing investments in the National Action Plan to End Gender-Based Violence so that we can support victims and survivors, prevent violence from happening in the first place, and support Indigenous-led approaches that will be prioritized in partnership.",Platform Only,Minister of Women and Gender Equality,Minister of Public Safety; Minister of Indigenous Services; Minister of Finance,Platform-specific commitment.
LPC-197,Unlock new economic opportunities for women by increasing support for the Women's Economic and Leadership Opportunities Fund.,Platform Only,Minister of Women and Gender Equality,Minister of Industry; Minister of Finance; Secretary of State (Small Business and Tourism),Platform-specific commitment. Related to LPC-295.
LPC-198,"Protect and strengthen child care in Canada. Child care responsibilities largely fall to women. A strong, affordable child care system lets women return to the workforce as soon as they are ready so that they can build their careers and have more financial security, for themselves and their families.",Platform Only,Minister of Jobs and Families,Minister of Women and Gender Equality; Secretary of State (Children and Youth); Minister of Finance,"Platform-specific rationale for child care, linked to LPC-154 and SFT_006."
LPC-199,"Work in full partnership with First Nation, Inuit, and M\u00e9tis to advance and realize the rights of Indigenous Peoples through a distinctions-based approach.",Both,Minister of Crown-Indigenous Relations,Minister of Indigenous Services,"Matches SFT_039 (be a reliable partner to Indigenous Peoples, upholding commitment to advancing reconciliation). Platform specifies 'full partnership', 'realize the rights of Indigenous Peoples', and 'distinctions-based approach'."
LPC-200,"Support Indigenous-led processes for advancing self-determination and the exercise of jurisdiction in priority areas such as education, health, child and family services as well as community safety and policing.",Platform Only,Minister of Crown-Indigenous Relations,Minister of Indigenous Services; Minister of Health; Secretary of State (Children and Youth); Minister of Public Safety,Platform-specific commitment.
LPC-201,"Work in partnership on the implementation of treaties, land claim, and self-government agreements.",Platform Only,Minister of Crown-Indigenous Relations,Minister of Indigenous Services,Platform-specific commitment.
LPC-202,"Commit to developing and supporting, in partnership, the structures that support a nation-to-nation, Inuit-Crown, government-to-government relationship to progress on shared priorities.",Platform Only,Minister of Crown-Indigenous Relations,Minister of Indigenous Services,Platform-specific commitment.
LPC-203,Move forward on the important work of the Truth and Reconciliation Commission's Calls to Action and support Indigenous communities to uncover unmarked and undocumented graves and burial sites at residential schools.,Platform Only,Minister of Crown-Indigenous Relations,Minister of Indigenous Services,Platform-specific commitment.
LPC-204,Move forward on the implementation of the National Inquiry into Missing and Murdered Indigenous Women and Girls Calls for Justice and the National Action Plan.,Platform Only,Minister of Crown-Indigenous Relations,Minister of Indigenous Services; Minister of Women and Gender Equality; Minister of Justice and Attorney General of Canada,Platform-specific commitment.
LPC-205,Implement the United Nations Declaration on the Rights of Indigenous Peoples Act and the Action Plan.,Both,Minister of Justice and Attorney General of Canada,Minister of Crown-Indigenous Relations,"SFT_041 (Government will be guided by free, prior, and informed consent in nation-building projects) is a key principle within UNDRIP. Platform commits to full UNDRIP Act implementation."
LPC-206,"Launch a new Indigenous Pathways to Prosperity Skills and Training Fund which will support partnerships between First Nations, Inuit, and M\u00e9tis communities and organizations, schools, training centres, and colleges to advance access to skills training and education opportunities.",Platform Only,Minister of Indigenous Services,Minister of Jobs and Families; Minister of Finance,Platform-specific commitment.
LPC-207,"Accelerate funding for access to post-secondary education so more First Nations, Inuit, and M\u00e9tis students can go to school and invest in associated infrastructure. Cost should not the barrier. Also invest in Indigenous-led post-secondary education institutions such as the Inuit Nunangat University and the First Nations University.",Platform Only,Minister of Indigenous Services,Minister of Jobs and Families; Minister of Finance,Platform-specific commitment.
LPC-208,"Protect K-12 education on-reserve so that more First Nations kids can go to school surrounded by their language, culture, and communities.",Platform Only,Minister of Indigenous Services,Minister of Finance,Platform-specific commitment.
LPC-209,Expand the Indigenous Loan Guarantee Program from $5 billion to $10 billion and increase the sectoral scope.,Both,Minister of Finance,Minister of Indigenous Services; Minister of Crown-Indigenous Relations; Minister of Energy and Natural Resources,Direct match with SFT_040 (double the Indigenous Loan Guarantee Program from $5B to $10B). Platform adds 'increase the sectoral scope'; SFT adds 'enabling more Indigenous communities to become owners of major projects'.
LPC-210,"Build together with First Nations, Inuit, and M\u00e9tis communities the critical infrastructure needed all across the country by: Expanding the kinds of projects the Canada Infrastructure Bank can support to be more in line with First Nation, Inuit, and M\u00e9tis priorities.",Platform Only,Minister of Housing and Infrastructure,Minister of Indigenous Services; Minister of Crown-Indigenous Relations; Minister of Finance,Platform-specific commitment.
LPC-211,Build critical Indigenous infrastructure by: Exploring options for an Indigenous Infrastructure Bank to address access to capital.,Platform Only,Minister of Finance,Minister of Indigenous Services; Minister of Crown-Indigenous Relations; Minister of Housing and Infrastructure,Platform-specific commitment.
LPC-212,Build critical Indigenous infrastructure by: Determining the best path forward towards First Nations 10-year infrastructure plans.,Platform Only,Minister of Indigenous Services,Minister of Housing and Infrastructure; Minister of Crown-Indigenous Relations,Platform-specific commitment.
LPC-213,Build critical Indigenous infrastructure by: Realizing First Nations control over First Nations infrastructure wherever possible through models like the First Nations Atlantic Water Authority.,Platform Only,Minister of Indigenous Services,Minister of Housing and Infrastructure; Minister of Crown-Indigenous Relations,Platform-specific commitment.
LPC-214,"Build critical Indigenous infrastructure by: Working in partnership with Indigenous communities and Indigenous housing providers to directly support building housing including in urban, rural, and northern Indigenous communities.",Platform Only,Minister of Housing and Infrastructure,Minister of Indigenous Services; Minister of Crown-Indigenous Relations; Secretary of State (Rural Development); Minister of Northern and Arctic Affairs,Platform-specific commitment.
LPC-215,Increase lands added to reserves within the next four years and work with First Nations to accelerate additions to reserve.,Platform Only,Minister of Crown-Indigenous Relations,Minister of Indigenous Services,Platform-specific commitment.
LPC-216,Immediately introduce and pass legislation affirming that First Nations have a human right to clean drinking water.,Platform Only,Minister of Indigenous Services,Minister of Justice and Attorney General of Canada; Minister of Health,Platform-specific commitment.
LPC-217,"Revitalize Indigenous languages by supporting community-driven projects that restore, protect, and promote this important part of First Nations, Inuit, and M\u00e9tis cultures and histories.",Platform Only,Minister of Canadian Identity and Culture,Minister of Indigenous Services; Minister of Crown-Indigenous Relations; Minister of Finance,Platform-specific commitment.
LPC-218,"Increase investments for Indigenous mental health, healing and wellness centres, and friendship centres.",Platform Only,Minister of Indigenous Services,Minister of Health; Minister of Finance,Platform-specific commitment.
LPC-219,Co-develop evidence-based food security approaches to replace Nutrition North Canada with Inuit and Northern Indigenous leaders.,Platform Only,Minister of Northern and Arctic Affairs and Minister responsible for the Canadian Northern Economic Development Agency,Minister of Crown-Indigenous Relations; Minister of Indigenous Services; Minister of Health; Minister of Agriculture and Agri-Food,Platform-specific commitment.
LPC-220,"Double First Nation, Inuit, and M\u00e9tis capacity funding to contribute to major project assessments for more consistent, fair, and meaningful consultations.",Platform Only,Minister of Crown-Indigenous Relations,Minister of Indigenous Services; Minister of Finance,Platform-specific commitment. Related to LPC-026.
LPC-221,"Establish a new Indigenous Climate Readiness and Adaptation Fund and support Indigenous-led conservation initiatives to safeguard forests, waterways, oceans and wildlife and to bolster disaster response activities.",Platform Only,Minister of Environment and Climate Change,Minister of Crown-Indigenous Relations; Minister of Indigenous Services; Minister of Emergency Management and Community Resilience; Secretary of State (Nature); Minister of Finance,Platform-specific commitment.
LPC-222,"Work with First Nation, Inuit, and M\u00e9tis peoples to advance economic reconciliation, including reforms that enable Indigenous-led initiatives.",Platform Only,Minister of Crown-Indigenous Relations,Minister of Indigenous Services; Minister of Finance; Minister of Industry,Platform-specific commitment.
LPC-223,Continue to support Indigenous Early Learning and Child Care.,Platform Only,Minister of Jobs and Families,Minister of Indigenous Services; Secretary of State (Children and Youth),Platform-specific commitment.
LPC-224,Continue to partner with Inuit to eliminate tuberculosis in Inuit Nunangat by 2030.,Platform Only,Minister of Indigenous Services,Minister of Health; Minister of Northern and Arctic Affairs,Platform-specific commitment.
LPC-225,Continue to fund Jordan's Principle.,Platform Only,Minister of Indigenous Services,Minister of Finance,Platform-specific commitment.
LPC-226,Continue to fund Inuit Child First Initiative.,Platform Only,Minister of Indigenous Services,Secretary of State (Children and Youth); Minister of Finance,Platform-specific commitment.
LPC-227,Continue the work on child welfare reform.,Platform Only,Minister of Indigenous Services,Secretary of State (Children and Youth); Minister of Justice and Attorney General of Canada,Platform-specific commitment.
LPC-228,Cut income taxes for the middle class and save dual-income families up to $825 a year. Reduce the marginal tax rate on the lowest tax bracket by 1 percentage point. This will come into effect on Canada Day 2025.,Platform Only,Minister of Finance,Secretary of State (Canada Revenue Agency and Financial Institutions),Platform-specific commitment.
LPC-229,"Cut the GST for first-time homebuyers on homes up to $1 million. In recognition of the high costs of homes in more expensive housing markets, also lower the GST on homes between $1 million and $1.5 million for first-time buyers.",Both,Minister of Finance,Minister of Housing and Infrastructure; Secretary of State (Canada Revenue Agency and Financial Institutions),"Matches SFT_004 (cut GST on homes up to $1M for FTHB) and SFT_005 (lower GST on homes $1M-$1.5M). Platform specifies FTHB for the $1M-$1.5M range. SFT_004 adds detail of 'savings of up to $50,000'."
LPC-230,Get Canadians the benefits they deserve by delivering automatic tax filing starting with low-income households and seniors.,Platform Only,Minister of Finance,Minister of Jobs and Families; Secretary of State (Seniors); Secretary of State (Canada Revenue Agency and Financial Institutions),Platform-specific commitment.
LPC-231,"Make mortgage payments more affordable by reviewing Canada's mortgage market with the objective to offer Canadians more options while retaining stability in the market. This work will look at barriers to longer interest rate terms on mortgages, which would give Canadians more financial stability.",Platform Only,Minister of Finance,Minister of Housing and Infrastructure; Secretary of State (Canada Revenue Agency and Financial Institutions),Platform-specific commitment.
LPC-232,"Fund home retrofits and lower utility bills while making it easier for low- and middle-income households, including renters, to adopt heat pumps and energy efficiency upgrades. Eligible costs could include insulation upgrades, heat pump installation, and window replacements.",Platform Only,Minister of Energy and Natural Resources,Minister of Environment and Climate Change; Minister of Housing and Infrastructure; Minister of Finance,Platform-specific commitment.
LPC-233,"Lower household risks to floods and wildfires, directly helping Canadian families to protect against floods, wildfires, and other extreme weather events. Use a reformed carbon credit market to finance these climate conscious choices, meaning that big polluters will pay.",Platform Only,Minister of Emergency Management and Community Resilience,Minister of Environment and Climate Change; Minister of Finance,Platform-specific commitment.
LPC-234,"Amend the Greenhouse Gas Pollution Pricing Act to legislate the repeal of the consumer ""carbon tax"" after it was cancelled on Day One, in March 2025. Do this while making sure big polluters pay and delivering a bold plan to reduce emissions and drive investments in clean technologies.",Platform Only,Minister of Finance,Minister of Environment and Climate Change; Minister of Justice and Attorney General of Canada,Platform-specific commitment.
LPC-235,Create Build Canada Homes (BCH) to get the federal government back into the business of building homes.,Both,Minister of Housing and Infrastructure,Minister of Finance,Direct match with SFT_013 (introduce measures to deliver affordable homes by creating Build Canada Homes).
LPC-236,"Through BCH, Canada will: Act as a developer to build affordable housing at scale, including on public lands.",Platform Only,Minister of Housing and Infrastructure,"Minister of Government Transformation, Public Works and Procurement",Platform-specific detail for Build Canada Homes.
LPC-237,"Through BCH, Canada will: Build faster, smarter, sustainable, more affordable homes by providing over $25 billion in financing to innovative prefabricated home builders in Canada, including those using Canadian technologies and resources like mass timber and softwood lumber. BCH will also issue bulk orders of units from manufacturers to create sustained demand.",Both,Minister of Housing and Infrastructure,Minister of Finance; Minister of Industry; Minister of Energy and Natural Resources,"Matches SFT_014 (BCH will invest in the growth of the prefabricated and modular housing industry). Platform is more specific on financing amount ($25B), technologies, and bulk orders."
LPC-238,"Through BCH, Canada will: Support affordable homebuilders by injecting $10 billion in low-cost financing and capital for homes that support middle- and low-income Canadians. This will include housing for students, seniors, Veterans, people with disabilities, and Indigenous housing, shelters, and more.",Both,Minister of Housing and Infrastructure,Minister of Finance; Minister of Jobs and Families; Secretary of State (Seniors); Minister of Veterans Affairs; Minister of Indigenous Services,Matches SFT_015 (BCH will provide significant financing to affordable home builders). Platform specifies $10B and target groups for housing.
LPC-239,"Through BCH, Canada will: Prioritize -sustainable building including sustainably sourced wood, recycled content, and low-emissions materials.",Platform Only,Minister of Housing and Infrastructure,Minister of Environment and Climate Change,Platform-specific detail for Build Canada Homes.
LPC-240,"Through BCH, Canada will: Incentivize companies to hire apprentices and recent graduates by establishing new requirements on federal contribution agreements to major projects that commit industry partners to include significant opportunities for young Canadians.",Platform Only,Minister of Housing and Infrastructure,Minister of Jobs and Families; Secretary of State (Children and Youth); Secretary of State (Labour),Platform-specific detail for Build Canada Homes.
LPC-241,"Cut municipal development charges in half for multi-unit residential housing for five years by working with provinces and territories to keep municipalities whole. These revenues will be offset by federal investment in housing infrastructure like water, power lines, and wastewater systems.",Both,Minister of Housing and Infrastructure,"Minister of Finance; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy","Matches SFT_016 (make housing market work better, including by cutting municipal development charges in half for all multi-unit housing). Platform specifies 'for five years' and how revenues will be offset."
LPC-242,"Reintroduce a tax incentive for home builders known as the Multi-Unit Rental Building (MURB), which, in the 1970s, spurred tens of thousands of rental housing units across the country.",Platform Only,Minister of Finance,Minister of Housing and Infrastructure,Platform-specific commitment.
LPC-243,Facilitate the conversion of existing structures into affordable housing units.,Platform Only,Minister of Housing and Infrastructure,nan,Platform-specific commitment.
LPC-244,"Build on the success of the Housing Accelerator Fund, further reducing housing bureaucracy, zoning restrictions, and other red tape so that builders only need to navigate one housing market, instead of thirteen. And publicly report on municipalities' progress to speed up permitting and approval timelines.",Platform Only,Minister of Housing and Infrastructure,"President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Platform-specific commitment.
LPC-245,"Speed up approvals by reforming and simplifying national building codes; eliminating duplicative inspections and streamlining regulations for prefabricated and modular housing; leveraging pre-approved, standardized housing designs across all public lands and encouraging the adoption of the designs as-of-right across the country; allowing builders and other orders of government to apply for multiple projects at once; and fast tracking builders who have a proven record with government.",Platform Only,Minister of Housing and Infrastructure,President of the Treasury Board; Minister of Industry,Platform-specific commitment.
LPC-246,"Build federal homes in ways that reduce the risk of costly damages. To protect homeowners and renters from costly flood and wildfire risks, federally supported housing will not be built in areas that are at high risk for floods and wildfires.",Platform Only,Minister of Housing and Infrastructure,Minister of Emergency Management and Community Resilience; Minister of Environment and Climate Change,Platform-specific commitment.
LPC-247,"Stand up Canada's high-risk flood insurance program by April 2026 to support homeowners to reduce their exposure to future climate risk. Expedite work with provinces, territories, and industry to finalize this low-cost program.",Platform Only,Minister of Emergency Management and Community Resilience,"Minister of Finance; Minister of Public Safety; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Platform-specific commitment.
LPC-248,"Return immigration to sustainable levels by capping the total number of temporary workers and international students to less than 5% of Canada's population by the end of 2027, from a past high of 7.3%, to ease the strain on housing, public infrastructure, and our social services.",Both,"Minister of Immigration, Refugees and Citizenship",Minister of Housing and Infrastructure; Minister of Jobs and Families,Matches SFT_043 (cap temporary foreign workers and international students to <5% of population by 2027) and SFT_042 (general goal of restoring balance to the immigration system). Platform provides the specific cap and rationale.
LPC-249,"Stabilize permanent resident admissions at less than 1% of Canada's population annually beyond 2027 with a focus on attracting top global talent that will drive economic growth and prosperity. Our immigration plan will also allow for the reunification of families, while maintaining Canada's global leadership in prioritizing the world's most vulnerable, including human rights defenders and refugees.",Platform Only,"Minister of Immigration, Refugees and Citizenship",Minister of Industry; Minister of Jobs and Families,Platform-specific commitment.
LPC-250,Attract the best talent in the world to build our economy by revitalizing the Global Skills Strategy to help high-growth Canadian businesses and entrepreneurs with new projects that will support Canada's strategic economic growth. This includes attracting highly skilled talent from the United States who can help grow the economy here in Canada.,Both,"Minister of Immigration, Refugees and Citizenship",Minister of Industry; Minister of Jobs and Families,Matches SFT_044 (attract the best talent in the world to build our economy) and SFT_045 (sending a clear message to Canadians working abroad to come home). Platform specifies revitalizing the Global Skills Strategy and attracting talent from the US.
LPC-251,"Work with provinces and territories to streamline and speed up recognition of foreign credentials and international professional experience, so that those who come to Canada can contribute their skills to the economy more quickly upon arrival.",Platform Only,"Minister of Immigration, Refugees and Citizenship","Minister of Jobs and Families; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Platform-specific commitment.
LPC-252,"Work towards a fairer and faster process and enhance service delivery for applicants by leveraging digital service tools to reduce processing times and eliminate backlogs to ensure that our immigration system is more reliable for families, businesses, and applicants.",Platform Only,"Minister of Immigration, Refugees and Citizenship",Minister of Artificial Intelligence and Digital Innovation,Platform-specific commitment.
LPC-253,"Support legal aid for asylum seekers and refugees so that claimants receive timely advice and representation, have their cases resolved as quickly as possible, and reduce unnecessary appeals.",Platform Only,Minister of Justice and Attorney General of Canada,"Minister of Immigration, Refugees and Citizenship; Minister of Finance",Platform-specific commitment.
LPC-254,"Move forward with a credible and fair immigration system that removes failed claimants once due process has been accorded, reinforcing the system's integrity.",Platform Only,"Minister of Immigration, Refugees and Citizenship",Minister of Public Safety,Platform-specific commitment.
LPC-255,"Strengthen the integrity of the border by increasing resources for security screenings, quickly identifying and removing inadmissible individuals, tightening visa requirements, and enhancing enforcement against immigration fraud.",Platform Only,Minister of Public Safety,"Minister of Immigration, Refugees and Citizenship",Platform-specific commitment.
LPC-256,"Continue to respect that immigration, both permanent and temporary, is a shared responsibility with the Government of Quebec. Share their commitment, within the Canada-Qu\u00e9bec Accord, to responsible immigration levels that protect the French language and Quebec's unique culture.",Platform Only,"Minister of Immigration, Refugees and Citizenship","Minister of Canadian Identity and Culture; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Platform-specific commitment.
LPC-257,"Establish a 12% target for Francophone immigration outside of Quebec by 2029, a 20% increase from current targets, to strengthen Francophone communities throughout Canada.",Platform Only,"Minister of Immigration, Refugees and Citizenship",Minister of Canadian Identity and Culture,Platform-specific commitment. Related to LPC-171.
LPC-258,"Strengthen federal, provincial, and territorial collaboration by enhancing cooperation between governments, agencies, and organizations to enable real-time information sharing on claimant status, removals, and settlement supports to improve efficiency and service delivery.",Platform Only,"Minister of Immigration, Refugees and Citizenship","President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Public Safety",Platform-specific commitment.
LPC-259,"Kickstart the clean energy supply chain by investing in critical minerals, attracting investment in critical minerals to get them from ""rock to road"" faster, supporting early-stage mining companies, and supporting thousands of jobs across the supply chain.",Platform Only,Minister of Energy and Natural Resources,Minister of Finance; Minister of Industry; Minister of Transport and Internal Trade,Platform-specific commitment.
LPC-260,Connect critical mineral projects to supply chains through a new First and Last Mile Fund (FLMF).,Platform Only,Minister of Energy and Natural Resources,Minister of Transport and Internal Trade; Minister of Finance,Platform-specific commitment.
LPC-261,"Directly support clean energy and critical mineral projects through the FLMF, reducing our reliance on other countries and protecting Canadian jobs. This will include supporting on-site development, processing, and refining capacity.",Platform Only,Minister of Energy and Natural Resources,Minister of Finance,Platform-specific commitment.
LPC-262,"Accelerate exploration and extraction, including investing in prospecting activities and recovering valuable minerals from end-of-life products like mining waste and batteries, contributing to a circular economy.",Platform Only,Minister of Energy and Natural Resources,Minister of Environment and Climate Change,Platform-specific commitment.
LPC-263,"Attract, expand, and derisk investments in critical minerals exploration and extraction through the expansion of existing tax credits by: Broadening the Critical Mineral Exploration Tax Credit by expanding qualifying minerals to include critical minerals necessary for defence, semiconductors, energy, and other clean technologies.",Platform Only,Minister of Finance,Minister of Energy and Natural Resources,Platform-specific commitment.
LPC-264,"Attract, expand, and derisk investments in critical minerals exploration and extraction by: Expanding eligible activities under Canadian exploration expenses to include the costs of technical studies, such as engineering, economic and feasibility studies for critical minerals projects.",Platform Only,Minister of Finance,Minister of Energy and Natural Resources,Platform-specific commitment.
LPC-265,"Attract, expand, and derisk investments in critical minerals exploration and extraction by: Modifying the Clean Technology Manufacturing Investment Tax Credit to include critical mineral mine development expenses for brownfield sites while expanding the list of priority critical minerals.",Platform Only,Minister of Finance,Minister of Energy and Natural Resources; Minister of Environment and Climate Change,Platform-specific commitment.
LPC-266,Invest in ourselves by providing funding for projects of national and economic significance and leveraging the Canada Growth Fund to accelerate private investment in Canadian critical minerals projects.,Platform Only,Minister of Finance,Minister of Energy and Natural Resources,Platform-specific commitment.
LPC-267,"Expand Canada's electric vehicle (EV) charging network by supporting the building of thousands of new stations by 2027. Also look at ways to reintroduce a purchase incentive worth up to $5,000 that supports Canadian workers and strengthens our domestic supply chains.",Platform Only,Minister of Transport and Internal Trade,Minister of Energy and Natural Resources; Minister of Environment and Climate Change; Minister of Finance; Minister of Industry,Platform-specific commitment.
LPC-268,Examine measures to reduce Canada's reliance on imported clean fuels as part of our plan to support Canadian farmers and businesses.,Platform Only,Minister of Energy and Natural Resources,Minister of Environment and Climate Change; Minister of Agriculture and Agri-Food,Platform-specific commitment.
LPC-269,Secure Canada's energy and electricity sovereignty.,Platform Only,Minister of Energy and Natural Resources,nan,Platform-specific commitment.
LPC-270,"Move forward on Canada's six major investment tax credits (ITCs) that support clean energy and technology \u2013 the Carbon Capture, Utilization, and Storage ITC, Clean Technology ITC, Clean Electricity ITC, Clean Hydrogen ITC, Clean Technology Manufacturing ITC, and Electric Vehicle Supply Chain ITC.",Platform Only,Minister of Finance,Minister of Energy and Natural Resources; Minister of Environment and Climate Change; Minister of Industry,Platform-specific commitment.
LPC-271,"Continue to be a world leader in Carbon Capture, Utilization, and Storage technology so that Canada is a world leader in responsible energy production.",Platform Only,Minister of Energy and Natural Resources,Minister of Environment and Climate Change,Platform-specific commitment.
LPC-272,"Expedite project reviews, including for major energy infrastructure.",Platform Only,President of the Treasury Board,Minister of Energy and Natural Resources; Minister of Environment and Climate Change,Platform-specific commitment.
LPC-273,Bring our energy potential to the world.,Platform Only,Minister of Energy and Natural Resources,Minister of International Trade,Platform-specific commitment.
LPC-274,Safeguard our resources from predatory investors.,Platform Only,Minister of Industry,Minister of Finance,Platform-specific commitment.
LPC-275,Finalize and implement the voluntary made-in-Canada sustainable investment guidelines for every priority sector by fall 2026.,Platform Only,Minister of Finance,Minister of Environment and Climate Change,Platform-specific commitment.
LPC-276,"Issue Canada's first-ever transition bonds by 2027, to finance projects that help industrial and agricultural sectors get cleaner and more competitive. The federal government will issue at least $10 billion per year through new bonds.",Platform Only,Minister of Finance,Minister of Environment and Climate Change; Minister of Industry; Minister of Agriculture and Agri-Food,Platform-specific commitment.
LPC-277,"Lead by example and reduce energy bills, in government-owned buildings by phasing out fossil fuel use by 2030.",Platform Only,"Minister of Government Transformation, Public Works and Procurement",President of the Treasury Board; Minister of Environment and Climate Change,Platform-specific commitment.
LPC-278,Ensure new federal buildings will be top performers in energy efficiency by adopting the top tiers for energy efficiency and greenhouse gas emissions reductions.,Platform Only,"Minister of Government Transformation, Public Works and Procurement",President of the Treasury Board; Minister of Environment and Climate Change,Platform-specific commitment.
LPC-279,Invest in the prefabricated and modular housing industry to reduce home construction emissions by up to 22% compared to traditional construction methods.,Platform Only,Minister of Housing and Infrastructure,Minister of Industry; Minister of Environment and Climate Change; Minister of Finance,Platform-specific commitment. Related to LPC-237 and SFT_014.
LPC-280,"Make sure big emitters pay while protecting the competitiveness of Canadian industry. Improve the Output-Based Pricing System (OBPS) for large industrial emitters and actively work with provincial and territorial governments to ensure carbon markets continue to function well, reduce barriers to harmonizing and linking these markets across the country, and ensure they establish a long-term signal to lock in investments.",Platform Only,Minister of Environment and Climate Change,"Minister of Finance; Minister of Industry; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Platform-specific commitment.
